WardNum,Ford,Smitherman,Pantalone
1,9435,2131,742
2,14325,2098,864
3,12913,4704,1563
4,14573,4728,1457
5,13789,7673,2170
6,11915,5894,2110
7,7041,2233,1640
8,5303,2509,1439
9,7045,2155,1948
10,9772,4458,1494
11,9619,3511,1920
12,7536,2747,1979
13,7679,10232,3599
14,4788,7949,3882
15,8928,4282,2388
16,8074,9505,1772
17,6006,4407,2975
18,3973,5697,3756
19,4630,9732,5801
20,5476,13151,4129
21,5818,8979,2602
22,7903,13411,2443
23,10959,8055,2181
24,9670,6181,1565
25,9865,9138,1639
26,8322,8272,1647
27,7068,17335,2909
28,4937,12513,2414
29,6493,7658,2863
30,5106,10492,3341
31,7942,6459,2889
32,7639,11812,3440
33,7525,4465,1435
34,8581,5403,1669
35,9390,4288,1880
36,9606,5682,2096
37,10809,4892,1695
38,10509,5107,1427
39,9519,3438,853
40,10094,4208,1410
41,11382,4638,949
42,10071,6798,1259
43,8818,4557,1332
44,12660,6262,1916
